length,count
5,5413
6,6234
7,7169
8,8189
9,9003
10,10667
11,10757
12,12016
13,12318
14,13043
15,14177
16,13856
17,13685
18,13629
19,13531
20,15057
21,13876
22,13602
23,13149
24,13250
25,13031
26,12834
27,12502
28,12513
29,12332
30,13077
31,11882
32,11802
33,11627
34,11377
35,11174
36,10909
37,10553
38,10455
39,10268
40,10980
41,9888
42,10068
43,9770
44,9555
45,9287
46,9005
47,8843
48,8694
49,8502
50,8897
51,8303
52,8045
53,7972
54,7860
55,7671
56,7445
57,7264
58,7122
59,7201
60,7008
61,6800
62,6733
63,6594
64,6448
65,6351
66,6179
67,6007
68,5808
69,5840
70,5782
71,5701
72,5547
73,5283
74,5313
75,5251
76,5014
77,5000
78,4888
79,4737
80,4822
81,4856
82,4627
83,4578
84,4537
85,4388
86,4306
87,4202
88,4001
89,3936
90,4049
91,3932
92,3819
93,3836
94,3729
95,3781
96,3557
97,3470
98,3504
99,3508
100,4467
101,3615
102,3504
103,3407
104,3258
105,3272
106,3161
107,3000
108,3125
109,2983
110,2972
111,2933
112,2854
113,2934
114,2640
115,2604
116,2700
117,2673
118,2619
119,2619
120,2479
121,2578
122,2480
123,2465
124,2395
125,2321
126,2357
127,2372
128,2225
129,2113
130,2220
131,2184
132,2112
133,2065
134,2053
135,2064
136,2080
137,1984
138,1997
139,1883
140,1937
141,1905
142,1898
143,1803
144,1761
145,1768
146,1702
147,1694
148,1735
149,1722
150,1729
151,1715
152,1577
153,1572
154,1621
155,1587
156,1570
157,1510
158,1473
159,1473
160,1511
161,1437
162,1417
163,1397
164,1400
165,1406
166,1326
167,1362
168,1357
169,1291
170,1346
171,1306
172,1258
173,1245
174,1244
175,1235
176,1176
177,1190
178,1201
179,1209
180,1137
181,1163
182,1137
183,1133
184,1098
185,1058
186,1036
187,1014
188,1017
189,986
190,994
191,981
192,1034
193,963
194,947
195,899
196,932
197,911
198,840
199,941
200,978
201,915
202,919
203,927
204,870
205,858
206,869
207,861
208,833
209,860
210,858
211,840
212,789
213,795
214,803
215,784
216,730
217,791
218,711
219,700
220,737
221,702
222,733
223,713
224,678
225,655
226,621
227,710
228,688
229,659
230,675
231,639
232,631
233,630
234,594
235,608
236,608
237,583
238,599
239,569
240,530
241,588
242,503
243,514
244,448
245,485
246,457
247,442
248,447
249,384
250,373
376,1
