R_Precision,DCG,IDCG,NDCG,Recommended_Songs_Clicks
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.11583465265113833,1.0,0.11583465265113833,39
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
0.0,0.0,1.0,0.0,50
