r_precision,ndcg,clicks,rr,recall
0.0,0.0,50,0,0.0
0.02,0.19858752605614544,2,0.043478260869565216,0.1
0.06,0.45818559664179564,0,1.0,0.36
0.02,0.3189428788217007,4,0.022727272727272728,0.34
0.14,0.4899754157919071,1,0.09090909090909091,0.6
0.1,0.4484685270814891,0,0.2,0.46
0.18,0.6160121118591116,0,1.0,0.48
0.06,0.31566290131632985,1,0.07692307692307693,0.24
0.06,0.4005222327000319,0,0.25,0.18
0.04,0.2735428001700481,0,0.14285714285714285,0.16
0.12,0.6048706571955383,0,0.5,0.32
0.56,0.9162897085289464,0,1.0,1.0
0.08,0.3291349210098034,2,0.038461538461538464,0.28
0.02,0.28514546488083525,4,0.02,0.24
0.08,0.48198447509929915,0,1.0,0.24
0.06,0.31266847057276925,1,0.06666666666666667,0.24
0.22,0.6389034245237062,0,0.5,0.5
0.0,0.23625456364837402,6,0.014925373134328358,0.16
0.06,0.7354106273916977,0,1.0,0.1
0.12,0.4732454363664574,0,0.125,0.48
0.19607843137254902,0.4840824854467397,0,0.3333333333333333,0.39215686274509803
0.5294117647058824,0.9458915675381883,0,1.0,1.0
0.0392156862745098,0.3270778167575963,3,0.030303030303030304,0.29411764705882354
0.13725490196078433,0.49608109716827054,0,0.16666666666666666,0.5490196078431373
0.21568627450980393,0.5904120867007434,0,0.3333333333333333,0.5098039215686274
0.0392156862745098,0.445964804566125,0,0.5,0.13725490196078433
0.0,0.15088284338669503,31,0.003125,0.0784313725490196
0.19607843137254902,0.5081170775090402,0,0.2,0.5490196078431373
0.1568627450980392,0.584885523730369,0,0.5,0.5294117647058824
0.0392156862745098,0.30279719943187344,0,0.16666666666666666,0.13725490196078433
0.0196078431372549,1.0,0,0.5,0.0196078431372549
0.0392156862745098,0.29314359117929284,1,0.07142857142857142,0.23529411764705882
0.2549019607843137,0.627377739103469,0,0.5,0.8823529411764706
0.13725490196078433,0.5333972035973265,0,0.2,0.6666666666666666
0.09803921568627451,0.47004460389498287,1,0.08333333333333333,0.6078431372549019
0.9607843137254902,0.9990843721929165,0,1.0,1.0
0.35294117647058826,0.708794425553071,0,0.5,0.7843137254901961
0.11764705882352941,0.4534990848798914,1,0.09090909090909091,0.5490196078431373
0.058823529411764705,0.384503525602753,0,0.3333333333333333,0.27450980392156865
0.0196078431372549,0.19975647126058454,1,0.07142857142857142,0.0784313725490196
0.019230769230769232,0.19750604450901882,5,0.019230769230769232,0.09615384615384616
0.11538461538461539,0.6255214036231415,0,1.0,0.5576923076923077
0.07692307692307693,0.3977480845054727,0,0.25,0.25
0.4807692307692308,0.9383849221199375,0,1.0,0.9230769230769231
0.07692307692307693,0.39879599004576183,1,0.07692307692307693,0.5576923076923077
0.15384615384615385,0.485476685320881,0,0.1111111111111111,0.5384615384615384
0.07692307692307693,0.42563068970115175,0,0.3333333333333333,0.28846153846153844
0.019230769230769232,0.27242863581085164,1,0.05263157894736842,0.17307692307692307
0.09615384615384616,0.4117379988177619,0,0.14285714285714285,0.4423076923076923
0.19230769230769232,0.5047971160704241,0,0.1111111111111111,0.5961538461538461
0.09615384615384616,0.4152404283377091,0,0.16666666666666666,0.40384615384615385
0.07692307692307693,0.3296257410742173,2,0.047619047619047616,0.2692307692307692
0.07692307692307693,0.45792062930484867,0,0.14285714285714285,0.5192307692307693
0.019230769230769232,0.39508339387963604,0,0.5,0.21153846153846154
0.018867924528301886,0.26426671487199366,4,0.02,0.22641509433962265
0.03773584905660377,0.33705535651595264,0,0.25,0.1509433962264151
0.05660377358490566,0.35191807118818286,1,0.07692307692307693,0.3018867924528302
0.11320754716981132,0.8899113983287311,0,1.0,0.1320754716981132
0.07547169811320754,0.4214083182251038,0,0.14285714285714285,0.4716981132075472
0.24528301886792453,0.5513282786631832,0,0.25,0.5849056603773585
0.1509433962264151,0.391663213085979,0,0.125,0.2641509433962264
0.2641509433962264,0.7663521023693456,0,1.0,0.7169811320754716
0.09433962264150944,0.38766347663475964,1,0.07142857142857142,0.39622641509433965
