length,count
150,20
151,20
152,14
153,26
154,18
155,20
156,11
157,15
158,14
159,13
160,13
161,16
162,16
163,14
164,17
165,22
166,12
167,13
168,14
169,11
170,12
171,6
172,20
173,15
174,12
175,10
176,17
177,10
178,12
179,11
180,7
181,12
182,10
183,10
184,10
185,12
186,7
187,9
188,11
189,12
190,11
191,9
192,7
193,11
194,9
195,6
196,4
197,18
198,13
199,9
200,9
201,11
202,6
203,12
204,11
205,10
206,12
207,10
208,8
209,7
210,4
211,3
212,13
213,2
214,10
215,8
216,12
217,5
218,10
219,5
220,7
221,10
222,10
223,10
224,12
225,7
226,7
227,8
228,7
229,7
230,4
231,6
232,10
233,7
234,3
235,8
236,6
237,5
238,5
239,7
240,5
241,3
242,1
243,4
244,7
245,5
246,8
247,5
248,2
249,3
250,2
