length,count
10,1
11,10
12,10
13,3
14,12
15,7
16,5
17,9
18,12
19,13
20,9
21,8
22,7
23,4
24,10
25,8
26,3
27,13
28,8
29,7
30,13
31,7
32,6
33,8
34,9
35,4
36,5
37,13
38,5
39,8
40,12
41,6
42,7
43,5
44,9
45,6
46,3
47,11
48,8
49,4
50,6
51,22
52,21
53,23
54,22
55,21
56,15
57,14
58,17
59,17
60,15
61,20
62,23
63,14
64,14
65,21
66,15
67,14
68,20
69,13
70,15
71,14
72,14
73,14
74,14
75,13
76,17
77,8
78,14
79,5
80,16
81,8
82,8
83,15
84,8
85,14
86,6
87,10
88,11
89,13
90,7
91,12
92,10
93,14
94,11
95,12
96,12
97,7
98,8
99,7
100,8
