name,num_tracks,idx,file,pid,modified_at,collaborative,num_albums,num_followers
☀️,250,833,mpd.slice.5000-5999.json,5833,1474070400,false,179,1
Pop,250,63,mpd.slice.7000-7999.json,7063,1489017600,true,140,1
80s,250,160,mpd.slice.10000-10999.json,10160,1452384000,false,204,1
birthday,250,211,mpd.slice.10000-10999.json,10211,1498780800,false,211,1
Highschool,250,225,mpd.slice.12000-12999.json,12225,1473206400,false,85,1
Rock Mix,250,517,mpd.slice.13000-13999.json,13517,1436918400,false,137,3
13.1 :),250,700,mpd.slice.13000-13999.json,13700,1508889600,false,215,2
Dad's Playlist,250,654,mpd.slice.18000-18999.json,18654,1495411200,false,161,3
HYPE,250,155,mpd.slice.19000-19999.json,19155,1424304000,false,168,2
Work,250,337,mpd.slice.23000-23999.json,23337,1509408000,false,199,1
Country Lovin',250,427,mpd.slice.23000-23999.json,23427,1473811200,false,155,1
Memory Lane,250,696,mpd.slice.24000-24999.json,24696,1509062400,false,185,1
Jojo,250,835,mpd.slice.33000-33999.json,33835,1507680000,false,27,1
Christmas,250,295,mpd.slice.34000-34999.json,34295,1487635200,false,171,2
Good stuff,250,417,mpd.slice.35000-35999.json,35417,1485388800,false,182,3
Music,250,539,mpd.slice.36000-36999.json,36539,1445472000,false,206,5
Bangerz,250,715,mpd.slice.38000-38999.json,38715,1509062400,false,183,1
90s,250,478,mpd.slice.39000-39999.json,39478,1412812800,true,142,1
60s,250,507,mpd.slice.39000-39999.json,39507,1478304000,false,200,1
Rock,250,448,mpd.slice.40000-40999.json,40448,1488844800,false,201,3
Nueva musica,250,591,mpd.slice.41000-41999.json,41591,1451088000,false,159,2
Deep House,250,599,mpd.slice.46000-46999.json,46599,1496880000,false,242,2
Country Music!,250,434,mpd.slice.48000-48999.json,48434,1423872000,false,142,6
throwback,250,618,mpd.slice.51000-51999.json,51618,1495065600,false,215,1
Disney,250,835,mpd.slice.58000-58999.json,58835,1487376000,false,73,1
old school Hip hop,250,708,mpd.slice.64000-64999.json,64708,1484784000,false,172,22
Angst,250,166,mpd.slice.68000-68999.json,68166,1505692800,false,129,5
Tunes,250,858,mpd.slice.68000-68999.json,68858,1428710400,false,203,3
rock,250,920,mpd.slice.68000-68999.json,68920,1494720000,false,130,1
movie songs,250,952,mpd.slice.68000-68999.json,68952,1486080000,false,180,1
Rock,250,784,mpd.slice.69000-69999.json,69784,1472601600,false,123,1
Natalie,250,657,mpd.slice.70000-70999.json,70657,1508976000,false,160,15
new ,250,925,mpd.slice.73000-73999.json,73925,1506124800,false,207,1
yah ,250,183,mpd.slice.74000-74999.json,74183,1389744000,false,166,1
Main,250,192,mpd.slice.74000-74999.json,74192,1475280000,false,159,2
Party Party,250,313,mpd.slice.75000-75999.json,75313,1474243200,false,196,1
Country Tunes,250,452,mpd.slice.76000-76999.json,76452,1501718400,false,148,4
Spanish,250,216,mpd.slice.77000-77999.json,77216,1509408000,false,186,1
classic rock,250,778,mpd.slice.78000-78999.json,78778,1485734400,false,144,1
OCTOBER 2017,250,520,mpd.slice.80000-80999.json,80520,1509321600,false,59,1
the who.,250,917,mpd.slice.80000-80999.json,80917,1507248000,false,30,1
Caleb,250,183,mpd.slice.81000-81999.json,81183,1442016000,false,111,1
relax,250,968,mpd.slice.82000-82999.json,82968,1503964800,false,158,3
Spring 2014,250,564,mpd.slice.95000-95999.json,95564,1483315200,false,183,9
Texas Country,250,185,mpd.slice.96000-96999.json,96185,1445990400,false,148,1
Angela ,250,634,mpd.slice.98000-98999.json,98634,1505088000,false,196,1
Maybe,250,579,mpd.slice.101000-101999.json,101579,1471737600,false,114,5
Jenna,250,873,mpd.slice.101000-101999.json,101873,1405382400,true,195,1
jamz,250,229,mpd.slice.102000-102999.json,102229,1491782400,false,102,1
Gospel,250,498,mpd.slice.104000-104999.json,104498,1475193600,false,176,1
Ayyyy,250,520,mpd.slice.105000-105999.json,105520,1454025600,false,204,1
Everything,250,318,mpd.slice.107000-107999.json,107318,1495584000,false,180,2
Anytime,250,329,mpd.slice.113000-113999.json,113329,1508025600,false,221,1
ignant,250,935,mpd.slice.123000-123999.json,123935,1503532800,false,188,7
00,250,826,mpd.slice.125000-125999.json,125826,1491350400,false,181,1
Home,250,11,mpd.slice.130000-130999.json,130011,1387324800,false,131,1
all,250,488,mpd.slice.132000-132999.json,132488,1486080000,false,63,1
Rock/Pop,250,122,mpd.slice.136000-136999.json,136122,1414281600,false,52,1
Insanity,250,186,mpd.slice.138000-138999.json,138186,1504915200,false,152,3
Island Time,250,472,mpd.slice.139000-139999.json,139472,1488672000,false,106,4
Hard Rock,250,505,mpd.slice.141000-141999.json,141505,1509235200,false,186,1
slaps,250,517,mpd.slice.141000-141999.json,141517,1470096000,false,147,2
💫💫,250,813,mpd.slice.141000-141999.json,141813,1445126400,false,115,2
thinking music ..,250,889,mpd.slice.141000-141999.json,141889,1502064000,false,204,1
Rap,250,511,mpd.slice.143000-143999.json,143511,1490659200,false,177,1
Old School Rap,250,178,mpd.slice.148000-148999.json,148178,1486512000,false,21,1
country music,250,694,mpd.slice.148000-148999.json,148694,1366502400,false,133,1
gym,250,932,mpd.slice.148000-148999.json,148932,1445731200,false,189,1
Rock/Metal,250,561,mpd.slice.150000-150999.json,150561,1507593600,false,179,1
Gaming,250,182,mpd.slice.152000-152999.json,152182,1482710400,false,203,1
My Music,250,563,mpd.slice.161000-161999.json,161563,1490832000,false,150,3
funk,250,138,mpd.slice.162000-162999.json,162138,1421884800,false,81,1
Just me,250,34,mpd.slice.165000-165999.json,165034,1455235200,false,195,3
My Childhood,250,298,mpd.slice.166000-166999.json,166298,1488844800,false,117,1
❤️❤️,250,367,mpd.slice.168000-168999.json,168367,1485648000,false,162,3
SUMMER2016,250,631,mpd.slice.174000-174999.json,174631,1484092800,false,219,4
Country,250,668,mpd.slice.177000-177999.json,177668,1435795200,true,124,1
Best of 2014,250,102,mpd.slice.178000-178999.json,178102,1420416000,false,31,1
My Favorites,250,48,mpd.slice.189000-189999.json,189048,1424736000,false,148,1
Rap,250,251,mpd.slice.197000-197999.json,197251,1504051200,false,173,1
Chill,250,288,mpd.slice.198000-198999.json,198288,1504656000,false,204,1
Banda ,250,981,mpd.slice.201000-201999.json,201981,1405555200,true,164,3
Sleepy,250,767,mpd.slice.202000-202999.json,202767,1478390400,false,54,6
car playlist ,250,884,mpd.slice.205000-205999.json,205884,1506556800,false,177,1
Our Wedding,250,173,mpd.slice.211000-211999.json,211173,1507939200,false,157,1
Pregame,250,511,mpd.slice.217000-217999.json,217511,1430956800,false,195,1
New,250,567,mpd.slice.217000-217999.json,217567,1421625600,false,131,1
chuck,250,569,mpd.slice.220000-220999.json,220569,1448841600,false,222,6
Musicals,250,68,mpd.slice.223000-223999.json,223068,1420761600,false,14,2
travel,250,962,mpd.slice.223000-223999.json,223962,1438646400,false,152,1
Bryan Adams,250,440,mpd.slice.226000-226999.json,226440,1384473600,false,35,1
Classic rock,250,160,mpd.slice.236000-236999.json,236160,1486684800,false,175,2
2017,250,412,mpd.slice.236000-236999.json,236412,1508976000,false,235,1
BACKGROUND,250,708,mpd.slice.240000-240999.json,240708,1501545600,false,188,1
Old Songs,250,117,mpd.slice.241000-241999.json,241117,1442534400,false,127,2
road trip,250,819,mpd.slice.242000-242999.json,242819,1503187200,false,222,1
Worship,250,300,mpd.slice.254000-254999.json,254300,1474848000,false,86,1
Lit,250,434,mpd.slice.254000-254999.json,254434,1508803200,false,205,2
Roadtrip,250,354,mpd.slice.256000-256999.json,256354,1509321600,false,204,3
Dance Beats,250,473,mpd.slice.260000-260999.json,260473,1489708800,false,199,3
Easy Listening,250,85,mpd.slice.261000-261999.json,261085,1486684800,true,215,1
Rap mix,250,988,mpd.slice.264000-264999.json,264988,1484870400,false,141,2
Chill,250,744,mpd.slice.268000-268999.json,268744,1501200000,false,237,1
Chill Music,250,507,mpd.slice.272000-272999.json,272507,1498608000,false,185,4
trvp,250,781,mpd.slice.277000-277999.json,277781,1491696000,false,158,3
awesome music,250,994,mpd.slice.279000-279999.json,279994,1352073600,false,175,1
My Classics,250,236,mpd.slice.280000-280999.json,280236,1415923200,false,175,1
Mixer,250,588,mpd.slice.280000-280999.json,280588,1507248000,false,186,3
a good playlist,250,108,mpd.slice.283000-283999.json,283108,1500854400,false,160,11
Throwbacks,250,52,mpd.slice.286000-286999.json,286052,1476576000,false,191,4
Pura banda,250,573,mpd.slice.286000-286999.json,286573,1455840000,false,112,1
anxiety,250,417,mpd.slice.288000-288999.json,288417,1486684800,false,26,1
80s,250,285,mpd.slice.293000-293999.json,293285,1425772800,false,205,3
rock & roll,250,174,mpd.slice.297000-297999.json,297174,1508544000,false,177,1
// 2014 //,250,475,mpd.slice.303000-303999.json,303475,1446508800,false,34,1
Bon Jovi,250,787,mpd.slice.305000-305999.json,305787,1363996800,false,29,1
throw back,250,878,mpd.slice.305000-305999.json,305878,1504742400,false,170,1
Workout ,250,85,mpd.slice.310000-310999.json,310085,1470355200,false,151,1
classical,250,638,mpd.slice.314000-314999.json,314638,1507939200,false,132,1
Chillout,250,209,mpd.slice.316000-316999.json,316209,1501977600,true,228,7
Work jams,250,525,mpd.slice.318000-318999.json,318525,1509062400,false,194,1
it's all good,250,548,mpd.slice.320000-320999.json,320548,1484524800,false,139,1
Can't Get Enough,250,482,mpd.slice.322000-322999.json,322482,1506729600,false,138,1
90s,250,371,mpd.slice.324000-324999.json,324371,1457913600,false,214,2
May 15,250,35,mpd.slice.325000-325999.json,325035,1431734400,false,73,1
Krautrock,250,302,mpd.slice.327000-327999.json,327302,1365033600,false,27,2
Workout Music,250,283,mpd.slice.335000-335999.json,335283,1506988800,false,189,1
Party Playlist,250,255,mpd.slice.336000-336999.json,336255,1418256000,false,189,7
everything,250,500,mpd.slice.342000-342999.json,342500,1434153600,false,186,4
tattoo,250,624,mpd.slice.344000-344999.json,344624,1503187200,false,214,1
Good,250,77,mpd.slice.346000-346999.json,346077,1502928000,false,180,2
Chilll,250,344,mpd.slice.346000-346999.json,346344,1457568000,false,201,2
Party Playlist,250,113,mpd.slice.348000-348999.json,348113,1503187200,false,206,1
July 4th,250,225,mpd.slice.349000-349999.json,349225,1499904000,false,182,1
dNb,250,260,mpd.slice.349000-349999.json,349260,1440374400,false,151,2
Workout,250,716,mpd.slice.350000-350999.json,350716,1504828800,false,229,2
Martha,250,74,mpd.slice.351000-351999.json,351074,1475625600,true,224,1
Chris,250,202,mpd.slice.351000-351999.json,351202,1507075200,false,228,2
Classic Rock,250,7,mpd.slice.353000-353999.json,353007,1473638400,false,185,3
Video Games,250,544,mpd.slice.358000-358999.json,358544,1370217600,false,20,1
Prayer,250,902,mpd.slice.358000-358999.json,358902,1509408000,false,85,1
Dank,250,47,mpd.slice.361000-361999.json,361047,1498089600,false,117,1
Early 2000s,250,389,mpd.slice.364000-364999.json,364389,1498348800,true,171,8
Still,250,171,mpd.slice.365000-365999.json,365171,1508371200,false,197,1
Work,250,632,mpd.slice.366000-366999.json,366632,1400457600,false,174,1
PopPunk,250,295,mpd.slice.367000-367999.json,367295,1508198400,false,116,2
Cooking,250,4,mpd.slice.368000-368999.json,368004,1473033600,false,193,1
Good country (:,250,397,mpd.slice.369000-369999.json,369397,1471651200,false,114,1
All Songs,250,201,mpd.slice.375000-375999.json,375201,1509408000,false,244,1
Throwback,250,770,mpd.slice.382000-382999.json,382770,1503187200,false,191,1
🔥🔥🔥,250,115,mpd.slice.384000-384999.json,384115,1462406400,false,184,1
TurnUp,250,720,mpd.slice.385000-385999.json,385720,1461715200,false,176,1
Gym,250,717,mpd.slice.386000-386999.json,386717,1485561600,false,28,1
oldies,250,395,mpd.slice.388000-388999.json,388395,1466294400,false,220,1
80s,250,14,mpd.slice.391000-391999.json,391014,1480291200,false,187,1
Worship,250,711,mpd.slice.392000-392999.json,392711,1488844800,false,95,1
XMAS,250,519,mpd.slice.394000-394999.json,394519,1356220800,false,76,31
Coffee Time,250,807,mpd.slice.399000-399999.json,399807,1505692800,false,201,3
MOST played,250,292,mpd.slice.404000-404999.json,404292,1506038400,false,206,1
theatre,250,691,mpd.slice.407000-407999.json,407691,1470960000,false,95,1
rock,250,627,mpd.slice.411000-411999.json,411627,1401926400,false,81,1
Fire!,250,30,mpd.slice.413000-413999.json,413030,1503014400,false,105,2
Country music,250,995,mpd.slice.413000-413999.json,413995,1508544000,false,27,1
Rap,250,90,mpd.slice.414000-414999.json,414090,1481155200,false,115,1
Party,250,298,mpd.slice.415000-415999.json,415298,1477699200,false,94,1
Hip-Hop,250,579,mpd.slice.420000-420999.json,420579,1502236800,false,79,1
Praise Him,250,961,mpd.slice.420000-420999.json,420961,1508371200,false,40,1
chico,250,664,mpd.slice.425000-425999.json,425664,1505433600,false,171,1
thomas,250,3,mpd.slice.435000-435999.json,435003,1456704000,false,185,4
emo days ,250,831,mpd.slice.436000-436999.json,436831,1498780800,false,40,2
Folk,250,525,mpd.slice.441000-441999.json,441525,1466726400,false,50,1
80's,250,649,mpd.slice.445000-445999.json,445649,1507852800,false,202,1
Sunrise,250,51,mpd.slice.449000-449999.json,449051,1496188800,false,214,11
~Wavy~,250,119,mpd.slice.453000-453999.json,453119,1500768000,false,222,4
tb,250,847,mpd.slice.453000-453999.json,453847,1508198400,false,231,2
formal,250,903,mpd.slice.455000-455999.json,455903,1493164800,false,223,1
My songs,250,938,mpd.slice.455000-455999.json,455938,1463616000,false,117,2
Party,250,175,mpd.slice.457000-457999.json,457175,1492905600,false,187,1
Show tunes,250,753,mpd.slice.458000-458999.json,458753,1464048000,false,13,13
Christmas,250,867,mpd.slice.459000-459999.json,459867,1482192000,false,52,2
90's,250,214,mpd.slice.462000-462999.json,462214,1394668800,false,181,2
throwback ,250,277,mpd.slice.463000-463999.json,463277,1442707200,false,114,2
Favorite Country,250,304,mpd.slice.463000-463999.json,463304,1501027200,false,114,1
7th grade,250,255,mpd.slice.466000-466999.json,466255,1489881600,false,47,1
