name,num_tracks,idx,file,pid,modified_at,collaborative,num_albums,num_followers
Local,200,848,mpd.slice.0-999.json,848,1507075200,false,141,2
LIT,200,627,mpd.slice.1000-1999.json,1627,1500336000,false,180,1
Salsa,200,157,mpd.slice.5000-5999.json,5157,1467417600,false,108,1
Zouk,200,247,mpd.slice.5000-5999.json,5247,1459296000,false,108,1
Wifey,200,859,mpd.slice.5000-5999.json,5859,1464566400,false,33,1
Favs❤️,200,862,mpd.slice.5000-5999.json,5862,1509321600,false,164,1
Wrap,200,22,mpd.slice.6000-6999.json,6022,1508630400,false,137,1
Alt Nation,200,330,mpd.slice.6000-6999.json,6330,1464480000,false,142,2
80's Pop,200,506,mpd.slice.6000-6999.json,6506,1504828800,false,144,1
Country Mix,200,925,mpd.slice.6000-6999.json,6925,1487548800,false,92,1
mix,200,186,mpd.slice.7000-7999.json,7186,1472947200,false,143,1
good!!!,200,560,mpd.slice.7000-7999.json,7560,1508889600,false,139,1
Roadtrippin,200,124,mpd.slice.8000-8999.json,8124,1488672000,false,166,2
Moves,200,477,mpd.slice.8000-8999.json,8477,1500163200,false,154,3
SOUNDTRACKS,200,238,mpd.slice.10000-10999.json,10238,1485216000,true,37,1
Para escuchar,200,337,mpd.slice.11000-11999.json,11337,1506729600,false,188,2
random songs,200,313,mpd.slice.12000-12999.json,12313,1509408000,false,160,3
Country,200,38,mpd.slice.13000-13999.json,13038,1497830400,false,45,1
Happy,200,769,mpd.slice.13000-13999.json,13769,1506556800,false,141,1
summer country,200,912,mpd.slice.13000-13999.json,13912,1470096000,false,143,2
New,200,755,mpd.slice.14000-14999.json,14755,1501372800,false,167,1
fun,200,339,mpd.slice.16000-16999.json,16339,1473465600,false,163,2
Relax,200,510,mpd.slice.16000-16999.json,16510,1497225600,false,160,1
Rap,200,95,mpd.slice.17000-17999.json,17095,1435104000,false,165,1
Party,200,281,mpd.slice.17000-17999.json,17281,1509062400,false,163,1
November,200,773,mpd.slice.18000-18999.json,18773,1453507200,false,47,1
British,200,351,mpd.slice.19000-19999.json,19351,1505520000,false,29,11
